"0","PlayersSelected","forInfo","Totals forselectedplayers","0","Merit","Form","Prob. ofAppear-ing","0","GW5","0","0","0","0","0","0","0","0","0","0","GW10","0","Rest OfSeason","PointsSo Far","OfficialChance","OfficialAvailability","SelectedBy %","TransfersIn GW","TransfersOut GW","News"
"✔Click to move selected players to the top","Player","forInfoClick  for player info popup","Team","PosPosition","CostPlayer's current price","MeritHow good the player is in terms of likelihood to score FPL points","FormOver/under-performance over the last 4 gameweeks compared to predicted points","Prob. ofAppear-ingProbability that the player will play at all in the next match","PtsGW5Predicted FPL points for gameweek 5, assuming player appears","ValGW5Predicted points for gameweek 5 per million pounds of the player's current cost","PtsGW6Predicted FPL points for gameweek 6, assuming player appears","PtsNext2Predicted total FPL points up to and including gameweek 6, assuming player appears in each match","PtsGW7Predicted FPL points for gameweek 7, assuming player appears","PtsNext3Predicted total FPL points up to and including gameweek 7, assuming player appears in each match","PtsGW8Predicted FPL points for gameweek 8, assuming player appears","PtsNext4Predicted total FPL points up to and including gameweek 8, assuming player appears in each match","PtsGW9Predicted FPL points for gameweek 9, assuming player appears","PtsNext5Predicted total FPL points up to and including gameweek 9, assuming player appears in each match","PtsGW10Predicted FPL points for gameweek 10, assuming player appears","PtsNext6Predicted total FPL points up to and including gameweek 10, assuming player appears in each match","ValNext6Predicted points over the next six gameweeks per million pounds of the player's current cost","PtsRest OfSeasonPredicted FPL points for the rest of the season","ValueRest OfSeasonPredicted points for the rest of the season per million pounds of the player's current cost","PointsSo Far","OfficialChancePlayer's official chance of playing the next match","OfficialAvailability","SelectedBy %Percentage of managers owning this player","TransfersIn GWNumber of transfers in since the last transfer deadline","TransfersOut GWNumber of transfers out since the last transfer deadline","News"
"","N.Williams","","NFO","DEF","5","3.62","0.83","0.94","4.1","0.83","3.3","7.4","3.6","11","3.4","14.4","3.2","17.6","3.6","21.2","4.25","123","24.5","17","100","Available","9.3","115856","43220",""
"","Tarkowski","","EVE","DEF","6.1","3.84","3.36","0.94","4.1","0.68","3.9","8","3.8","11.8","3.4","15.2","3.5","18.7","4.1","22.9","3.75","128","21","29","100","Available","14.3","255340","42462",""
"","O'Reilly","","MCI","DEF","6.4","3.6","-1.48","0.74","4.1","0.65","2.9","7.1","4","11.1","3","14.1","3.6","17.6","3.1","20.7","3.23","115","18","5","100","Available","11.8","11361","159368",""
"","João Pedro","","CHE","FWD","7.8","4.41","3.56","0.62","4.1","0.53","4.6","8.7","4","12.7","4.5","17.2","4.4","21.6","3.9","25.5","3.27","144","18.5","33","75","Doubtful","70.2","248021","470552","Unspecified injury - 75% chance of playing"
"","Cherki","","MCI","MID","7.8","3.79","1.07","0.94","4.1","0.52","3.1","7.2","4.2","11.5","3.2","14.7","3.8","18.5","3.2","21.7","2.78","121","15.5","26","100","Available","28.1","135454","253917",""
"","Pedro Porro","","TOT","DEF","5.4","3.83","0.44","0.93","4.1","0.76","3.2","7.3","4.3","11.6","3.2","14.8","4","18.8","3.3","22.1","4.09","124","23","8","100","Available","8.3","2559","229802",""
"","Senesi","","TOT","DEF","5.8","3.97","-0.06","0.45","4.1","0.7","3.5","7.5","4.2","11.7","3.4","15.1","4","19.1","3.5","22.6","3.89","127","21.9","3","100","Available","3.8","2293","63767",""
"","Muñoz","","NFO","DEF","5.4","3.55","-1.47","0.85","4.1","0.76","3.2","7.3","3.5","10.8","3.4","14.2","3.2","17.5","3.6","21.1","3.9","123","22.8","3","100","Available","6.1","71007","45553",""
"","Muharemović","","LEE","DEF","5","3.94","1.71","0.9","4.1","0.82","3.6","7.7","4.1","11.7","3.9","15.7","3.8","19.5","4.2","23.7","4.74","135","27","21","100","Available","4.4","58314","22348",""
"","Van Hecke","","TOT","DEF","4.9","3.77","2.24","0.94","4.1","0.83","3.5","7.6","4.3","11.9","3.6","15.5","4.1","19.6","3.7","23.3","4.74","132","27","18","100","Available","6.7","35057","37042",""
"","Gvardiol","","MCI","DEF","5.7","3.52","5.34","0.91","4.1","0.71","3","7.1","4","11.1","3.2","14.2","3.6","17.9","3.3","21.1","3.71","119","20.9","33","100","Available","25.6","497213","35637",""
"","Gabriel","","ARS","DEF","8","4.78","1.83","0.94","4","0.5","5","9","4.1","13.1","4.9","18","3.8","21.7","5.2","26.9","3.36","148","18.5","24","100","Available","23.1","42495","102150",""
