"","Schuster","","BRE","DEF","4.5","1.7","","1.00"
"","Schade","","BRE","MID","6.0","2.1","","1.00"
"","O.Dango","","BRE","MID","6.5","2.3","","1.00"
"","Damsgaard","","BRE","MID","5.5","2","","1.00"
"","Jensen","","BRE","MID","5.5","2","","1.00"
"","Janelt","","BRE","MID","5.0","1.5","","1.00"
"","Milambo","","BRE","MID","5.0","1.1","","0.75"
"","Carvalho","","BRE","MID","5.0","1.5","","1.00"
"","Yarmoliuk","","BRE","MID","5.0","1.5","","1.00"
"","Dasilva","","BRE","MID","5.0","1.5","","1.00"
"","Anthony","","BRE","MID","6.0","2.1","","1.00"
"","Thiago","","BRE","FWD","8.0","2.5","","1.00"
"","Furo","","BRE","FWD","4.5","1","","1.00"
"","Wilson","","BRE","FWD","5.5","1.8","","1.00"
"","Sangaré","","BRE","MID","5.5","2","","1.00"
"","Verbruggen","","BHA","GKP","4.5","1.9","","1.00"
"","Steele","","BHA","GKP","4.0","1","","1.00"
"","F.Kadıoğlu","","BHA","DEF","4.5","1.7","","1.00"
"","Boscagli","","BHA","DEF","4.5","1.7","","1.00"
"","De Cuyper","","BHA","DEF","4.5","1.7","","1.00"
"","Dunk","","BHA","DEF","4.5","1.7","","1.00"
"","Coppola","","BHA","DEF","4.5","1.7","","1.00"
"","Igor","","BHA","DEF","4.5","1.7","","1.00"
"","Costinha","","BHA","DEF","4.5","1.7","","1.00"
"","Svoboda","","BHA","DEF","5.0","2.2","","1.00"
"","Mitoma","","BHA","MID","6.0","0","","0.00"
"","Minteh","","BHA","MID","6.0","0","","0.00"
"","Hinshelwood","","BHA","MID","6.0","2.1","","1.00"
"","Groß","","BHA","MID","5.5","2","","1.00"
"","Georginio","","BHA","FWD","5.5","1.8","","1.00"
"","O'Riley","","BHA","MID","5.5","2","","1.00"
"","Gomez","","BHA","MID","5.0","1.5","","1.00"
"","Buonanotte","","BHA","MID","5.0","0","","0.00"
"","Ayari","","BHA","MID","5.5","2","","1.00"
"","Wieffer","","BHA","DEF","5.0","2.2","","1.00"
"","Baleba","","BHA","MID","5.0","0","","0.00"
"","Howell","","BHA","MID","4.5","1","","1.00"
"","Watson","","BHA","MID","5.0","0","","0.00"
"","Oriola","","BHA","MID","4.5","1","","1.00"
"","Yohanna","","BHA","MID","5.0","1.5","","1.00"
"","Tzimas","","BHA","FWD","5.5","1.3","","0.75"
"","Kostoulas","","BHA","FWD","5.5","1.8","","1.00"
"","Ferguson","","BHA","FWD","5.0","0","","0.00"
"","Struijk","","BHA","DEF","5.0","1.6","","0.75"
"","Vuskovic","","BHA","DEF","5.0","2.2","","1.00"
"","Rogers","","CHE","MID","7.5","2.6","","1.00"
"","Henderson","","CHE","MID","5.0","1.1","","0.75"
"","Welbeck","","CHE","FWD","6.0","2","","1.00"
"","Sánchez","","CHE","GKP","5.0","2.6","","1.00"
"","Jörgensen","","CHE","GKP","5.0","0","","0.00"
"","James","","CHE","DEF","5.5","2.5","","1.00"
"","Chalobah","","CHE","DEF","5.5","0","","0.00"
"","Gusto","","CHE","DEF","5.0","2.2","","1.00"
"","Fofana","","CHE","DEF","5.0","0","","0.00"
"","B.Badiashile","","CHE","DEF","4.5","1.7","","1.00"
"","Tosin","","CHE","DEF","4.5","1.7","","1.00"
"","Hato","","CHE","DEF","4.5","1.7","","1.00"
"","Colwill","","CHE","DEF","5.0","2.2","","1.00"
"","M.Sarr","","CHE","DEF","4.5","1.7","","1.00"
"","Acheampong","","CHE","DEF","4.5","1.7","","1.00"
"","Palestra","","CHE","DEF","5.5","2.5","","1.00"
"","Disasi","","CHE","DEF","4.5","1.7","","1.00"
"","Palmer","","CHE","MID","9.5","3.2","","1.00"
"","Enzo","","CHE","MID","7.0","2.5","","1.00"
"","Neto","","CHE","MID","6.5","2.3","","1.00"
"","Estêvão","","CHE","MID","6.5","2.3","","1.00"
"","Gittens","","CHE","MID","6.0","2.1","","1.00"
"","Caicedo","","CHE","MID","5.5","2","","1.00"
"","Lavia","","CHE","MID","5.0","1.5","","1.00"
"","D.Essugo","","CHE","MID","4.5","1","","1.00"
"","Quenda","","CHE","MID","5.5","2","","1.00"
"","João Pedro","","CHE","FWD","7.5","2.3","","1.00"
"","N.Jackson","","CHE","FWD","6.5","2.1","","1.00"
"","Delap","","CHE","FWD","5.5","1.8","","1.00"
"","Marc Guiu","","CHE","FWD","5.0","1.4","","1.00"
"","Mheuka","","CHE","FWD","4.5","1","","1.00"
"","Emegha","","CHE","FWD","5.0","1","","0.75"
"","Lacroix","","CHE","DEF","6.0","2.8","","1.00"
"","Penders","","CHE","GKP","4.5","1.9","","1.00"
"","Anselmino","","CHE","DEF","4.5","1.7","","1.00"
"","Barco","","CHE","MID","5.5","2","","1.00"
"","Mudryk","","CHE","MID","5.5","2","","1.00"
"","Chavarria","","CHE","DEF","5.0","2.2","","1.00"
"","Onyeka","","COV","MID","5.0","1.5","","1.00"
"","Rushworth","","COV","GKP","4.5","1.9","","1.00"
"","Dovin","","COV","GKP","4.0","1","","1.00"
"","Wilson","","COV","GKP","4.5","1.9","","1.00"
"","Thomas","","COV","DEF","4.0","1","","1.00"
"","Kitching","","COV","DEF","4.0","1","","1.00"
"","van Ewijk","","COV","DEF","4.0","1","","1.00"
"","Dasilva","","COV","DEF","4.0","1","","1.00"
"","Kesler-Hayden","","COV","DEF","4.0","1","","1.00"
"","Bidwell","","COV","DEF","4.0","1","","1.00"
"","Latibeaudiere","","COV","DEF","4.0","1","","1.00"
"","Woolfenden","","COV","DEF","4.0","1","","1.00"
"","Brau","","COV","DEF","4.0","1","","1.00"
"","Amenda","","COV","DEF","4.0","1","","1.00"
"","Rudoni","","COV","MID","5.0","1.1","","0.75"
"","Grimes","","COV","MID","5.0","1.5","","1.00"
"","Sakamoto","","COV","MID","5.0","1.5","","1.00"
"","Mason-Clark","","COV","MID","5.5","1.5","","0.75"
"","Eccles","","COV","MID","5.0","1.5","","1.00"
"","Torp","","COV","MID","5.5","2","","1.00"
"","Shepherd","","COV","MID","4.5","1","","1.00"
"","Tchaouna","","COV","MID","5.5","2","","1.00"
"","Borges Rodrigues","","COV","MID","4.5","1","","1.00"
"","Andrews","","COV","MID","4.5","1","","1.00"
"","Wright","","COV","FWD","5.5","0","","0.00"
"","Thomas-Asante","","COV","FWD","5.0","1.4","","1.00"
"","Simms","","COV","FWD","5.0","1.4","","1.00"
"","Markelo","","COV","FWD","5.0","1.4","","1.00"
"","Bassette","","COV","FWD","4.5","0","","0.00"
"","Yirenkyi","","COV","MID","5.0","1.5","","1.00"
"","Hamer","","COV","MID","5.5","2","","1.00"
"","Guessand","","CRY","MID","5.5","2","","1.00"
"","Henderson","","CRY","GKP","5.0","2.6","","1.00"
"","Benitez","","CRY","GKP","4.5","1.9","","1.00"
"","Muñoz","","CRY","DEF","5.5","2.5","","1.00"
"","Richards","","CRY","DEF","5.0","2.2","","1.00"
"","Canvot","","CRY","DEF","5.0","2.2","","1.00"
"","Mitchell","","CRY","DEF","4.5","1.7","","1.00"
"","Sosa","","CRY","DEF","4.5","1.7","","1.00"
"","Chadi Riad","","CRY","DEF","4.5","1.7","","1.00"
"","Mingueza","","CRY","DEF","4.5","1.7","","1.00"
"","Sarr","","CRY","MID","6.5","2.3","","1.00"
"","Wharton","","CRY","MID","5.5","2","","1.00"
"","Yeremy","","CRY","MID","5.5","2","","1.00"
"","Hughes","","CRY","MID","4.5","1","","1.00"
"","Lerma","","CRY","MID","5.0","1.5","","1.00"
"","Kamada","","CRY","MID","5.0","1.5","","1.00"
"","Devenny","","CRY","MID","5.0","1.5","","1.00"
"","Esse","","CRY","MID","5.0","1.5","","1.00"
"","M.França","","CRY","MID","5.0","1.5","","1.00"
"","Doucouré","","CRY","MID","5.0","1.5","","1.00"
"","J.Rak-Sakyi","","CRY","MID","5.0","1.5","","1.00"
"","Cardines","","CRY","DEF","4.5","0","","0.00"
"","Drakes-Thomas","","CRY","MID","4.5","1","","1.00"
"","Strand Larsen","","CRY","FWD","6.0","2","","1.00"
"","Mateta","","CRY","FWD","6.5","2.1","","1.00"
"","Nketiah","","CRY","FWD","5.5","1.8","","1.00"
"","Uche","","CRY","FWD","5.0","0","","0.00"
"","McNeil","","CRY","MID","5.5","2","","1.00"
"","Matthews","","CRY","GKP","4.0","1","","1.00"
"","Tomiyasu","","CRY","DEF","4.5","1.7","","1.00"
"","Nørgaard","","EVE","MID","5.0","1.1","","0.75"
"","Johnson","","EVE","MID","6.0","2.1","","1.00"
"","Pickford","","EVE","GKP","5.5","3.3","","1.00"
"","Travers","","EVE","GKP","5.0","2.6","","1.00"
"","King","","EVE","GKP","4.5","1.9","","1.00"
"","Tarkowski","","EVE","DEF","6.0","2.8","","1.00"
"","Branthwaite","","EVE","DEF","5.5","2.5","","1.00"
"","Keane","","EVE","DEF","5.0","2.2","","1.00"
"","O'Brien","","EVE","DEF","5.0","2.2","","1.00"
"","Mykolenko","","EVE","DEF","4.5","1.7","","1.00"
"","Patterson","","EVE","DEF","4.5","1.7","","1.00"
"","Aznou","","EVE","DEF","4.0","1","","1.00"
"","Dewsbury-Hall","","EVE","MID","6.5","2.3","","1.00"
