"0","PlayersSelected","forInfo","Totals forselectedplayers","0","Merit","Form","Prob. ofAppear-ing","0","GW4","0","0","0","0","0","0","0","0","0","0","GW9","0","Rest OfSeason","PointsSo Far","OfficialChance","OfficialAvailability","SelectedBy %","TransfersIn GW","TransfersOut GW","News"
"✔Click to move selected players to the top","Player","forInfoClick  for player info popup","Team","PosPosition","CostPlayer's current price","MeritHow good the player is in terms of likelihood to score FPL points","FormOver/under-performance over the last 4 gameweeks compared to predicted points","Prob. ofAppear-ingProbability that the player will play at all in the next match","PtsGW4Predicted FPL points for gameweek 4, assuming player appears","ValGW4Predicted points for gameweek 4 per million pounds of the player's current cost","PtsGW5Predicted FPL points for gameweek 5, assuming player appears","PtsNext2Predicted total FPL points up to and including gameweek 5, assuming player appears in each match","PtsGW6Predicted FPL points for gameweek 6, assuming player appears","PtsNext3Predicted total FPL points up to and including gameweek 6, assuming player appears in each match","PtsGW7Predicted FPL points for gameweek 7, assuming player appears","PtsNext4Predicted total FPL points up to and including gameweek 7, assuming player appears in each match","PtsGW8Predicted FPL points for gameweek 8, assuming player appears","PtsNext5Predicted total FPL points up to and including gameweek 8, assuming player appears in each match","PtsGW9Predicted FPL points for gameweek 9, assuming player appears","PtsNext6Predicted total FPL points up to and including gameweek 9, assuming player appears in each match","ValNext6Predicted points over the next six gameweeks per million pounds of the player's current cost","PtsRest OfSeasonPredicted FPL points for the rest of the season","ValueRest OfSeasonPredicted points for the rest of the season per million pounds of the player's current cost","PointsSo Far","OfficialChancePlayer's official chance of playing the next match","OfficialAvailability","SelectedBy %Percentage of managers owning this player","TransfersIn GWNumber of transfers in since the last transfer deadline","TransfersOut GWNumber of transfers out since the last transfer deadline","News"
"","Truffert","","BOU","DEF","5.5","3.79","-1.8","0.94","4","0.73","3.8","7.9","3.3","11.1","4.4","15.5","3.3","18.8","4.2","23.1","4.19","131","23.9","5","100","Available","3.7","674","2404",""
"","Calvert-Lewin","","LEE","FWD","6","3.85","0.97","0.93","4","0.67","4.1","8.1","3.4","11.6","4.1","15.6","3.7","19.3","3.6","22.9","3.82","138","23.1","10","100","Available","25.8","8686","37227",""
"","E.Le Fée","","SUN","MID","5.9","4.26","-1.04","0.93","4","0.68","3.7","7.8","4.3","12.1","3.9","16","4.4","20.4","4","24.4","4.14","145","24.6","7","100","Available","5.7","316","15605",""
"","Van Hecke","","TOT","DEF","4.9","3.71","-1.81","0.94","4","0.81","4","8","3.4","11.4","4.2","15.6","3.4","19","3.9","22.9","4.68","130","26.6","4","100","Available","7.2","1036","7724",""
"","Palestra","","CHE","DEF","5.4","3.42","1","0.45","4","0.73","3.1","7","3.5","10.5","3.2","13.8","3.7","17.5","3.5","21","3.89","120","22.2","0","75","Doubtful","1.3","118","2742","Unspecified injury - 75% chance of playing"
"","Anderson","","MCI","MID","6.4","4.32","-1.08","0.94","4","0.62","4.5","8.5","4","12.5","4.7","17.2","4","21.2","4.4","25.6","4","149","23.2","7","100","Available","5.0","1431","6707",""
"","Thiago","","BRE","FWD","8","4.37","-2.07","0.94","3.9","0.49","4.5","8.4","4","12.4","4.4","16.8","4.6","21.4","4.6","26","3.26","151","18.9","3","100","Available","13.5","2439","22180",""
"","Raya","","ARS","GK","6","3.95","1.58","0.94","3.9","0.65","3.5","7.4","4.5","11.9","3.7","15.6","4.5","20.1","3.4","23.5","3.92","138","23.1","12","100","Available","38.5","17908","10289",""
"","Neto","","CHE","MID","6.5","3.28","0.86","0.88","3.9","0.59","3.1","7","3.6","10.6","3.2","13.8","3.6","17.5","3.5","21","3.23","119","18.4","8","100","Available","1.3","1648","925",""
"","Gibbs-White","","NFO","MID","7.9","4.29","3.16","0.94","3.9","0.49","4.8","8.6","3.9","12.5","4","16.5","4","20.6","3.9","24.5","3.1","146","18.5","16","100","Available","9.4","12316","6248",""
"","Silva","","BOU","DEF","5","3.63","-1","0.87","3.9","0.77","3.7","7.5","3.4","10.9","4.1","15","3.4","18.4","3.9","22.3","4.47","129","25.8","7","100","Available","0.4","375","241",""
"","Groß","","BHA","MID","5.5","4.09","3","0.9","3.8","0.7","3.8","7.7","3.8","11.5","4.2","15.6","3.6","19.2","3.5","22.8","4.14","139","25.2","16","100","Available","16.0","31763","6267",""
